,0
1286,1286
1290,1290
1291,1291
1292,1292
1293,1293
1294,1294
1295,1295
1296,1296
1297,1297
1298,1298
1299,1299
1300,1301
1301,1301
1302,1302
1303,1303
1305,1305
1306,1306
1307,1306
1308,1308
1309,1311
1311,1311
1312,1312
1313,1313
1315,1315
1316,1316
1317,1317
1318,1318
1320,1320
1321,1320
1323,1323
1324,1324
1325,1320
1326,1326
1327,1327
1328,1328
1329,1329
1330,1330
1331,1331
1332,1332
1334,1334
1336,1336
1337,1337
1338,1338
1339,1339
1340,1341
1341,1341
1342,1341
1343,1336
1344,1344
1345,1345
1346,1346
1347,1347
1349,1349
1374,1377
1377,1377
1378,8592
1379,8586
1380,8352
1381,8586
1382,8586
1383,1383
1384,1384
1385,1388
1386,1388
1388,1388
1407,1407
1408,1408
1409,1409
1410,1616
1412,8468
1413,1407
1418,1418
1419,1419
1422,1422
1423,1429
1429,1429
1430,1431
1431,1431
1433,1431
1452,1452
1453,1453
1454,1454
1455,1455
1456,1456
1457,7245
1458,1458
1459,7118
1460,1460
1461,1461
1463,1463
1464,1464
1465,1465
1466,8264
1467,1467
1468,7087
1469,1469
1470,7753
1471,7828
1473,1473
1474,7650
1475,1475
1476,1473
1477,1477
1478,8253
1479,1479
1480,1480
1481,1481
1482,1482
1483,1483
1484,1484
1485,1485
1486,1486
1487,8224
1488,1488
1489,1489
1490,1490
1491,1491
1492,1492
1493,1493
1494,1494
1495,1495
1496,1496
1497,1497
1498,1498
1499,1499
1500,1500
1501,1501
1502,1502
1503,1503
1504,7088
1505,8703
1506,7232
1507,1507
1508,8780
1509,1509
1510,1513
1511,8603
1513,1513
1514,7226
1515,7227
1516,8627
1517,1517
1518,8528
1519,1519
1520,1519
1522,8826
1523,8654
1524,8232
1526,1526
1527,1527
1528,1528
1529,1528
1530,7826
1532,1532
1533,1532
1535,1535
1536,7170
1537,7218
1539,1539
1540,8626
1541,1541
1542,8549
1543,8434
1544,7817
1546,1546
1548,1548
1549,1549
1550,7378
1551,8676
1553,1553
1555,1555
1556,1556
1557,1557
1558,1558
1559,8597
1560,1560
1561,7105
1562,7105
1563,1563
1564,1563
1566,1566
1567,1566
1568,7818
1570,1570
1571,1571
1572,1572
1573,7104
1574,1574
1575,7916
1576,7212
1577,7751
1578,1578
1579,1579
1580,1580
1582,1582
1583,8655
1584,1584
1585,8544
1587,1587
1588,1588
1589,1589
1590,1609
1591,1592
1592,1592
1594,1594
1595,1594
1596,1596
1597,1597
1598,7225
1599,8478
1601,1601
1602,1602
1603,1603
1604,1604
1605,1607
1606,1606
1607,1607
1609,1609
1610,8740
1611,8740
1612,1612
1613,8600
1614,8740
1616,1616
1617,1616
1619,1619
1621,1621
1622,7825
1623,1623
1624,1624
1625,1626
1626,1626
1627,1627
1628,7222
1629,1629
1630,7824
1631,1631
1632,1642
1633,7752
1635,1635
1636,1636
1638,1638
1640,1638
1641,1641
1642,1642
1644,1644
1645,7220
1646,1646
1647,1646
1648,1648
1649,1646
1650,1650
1651,1652
1652,1652
1653,1653
1654,8260
1655,8524
1657,1657
1658,1658
1659,1659
1660,1660
1661,7919
1663,1663
1664,8571
1665,1665
1666,1666
1667,1667
1668,7820
1669,1671
1671,1671
1672,1672
1673,7820
1674,7213
1675,7307
1676,1676
1677,7214
1678,1678
1679,1679
1680,1680
1681,7125
1682,1679
1683,1679
1684,1684
1685,7820
1686,7216
1687,7216
1689,1689
1691,1691
1692,1692
1694,1694
1695,1695
1696,1696
1697,8261
1698,1698
1699,1699
1700,7281
1702,1702
1703,1703
1704,1707
1706,1707
1707,1707
1709,1709
1710,8827
1711,1712
1712,1712
1713,1713
1715,1715
1716,1715
1717,1717
1718,1718
1719,8827
1720,1707
1721,7408
1723,1723
1724,1724
1725,1725
1726,1725
1727,1727
1728,1728
1729,1729
1731,1731
1732,1731
1733,1733
1734,7869
1735,1735
1736,1736
1737,1736
1738,1736
1740,7169
1741,1741
1742,1741
1743,8483
1744,7282
1745,1756
1746,1756
1748,1756
1749,1756
1750,1750
1751,1750
1752,1753
1753,1753
1754,1753
1756,1756
1757,1757
1758,1758
1759,1759
1760,1760
1761,8716
1762,8716
1763,1778
1764,1778
1765,1778
1766,1778
1767,1767
1769,1769
1770,1770
1771,1771
1773,1773
1774,1774
1775,1775
1777,1777
1778,1778
1779,1778
1780,7829
1781,1781
1782,1782
1783,1785
1784,1785
1785,1785
1786,8594
1787,1787
1788,1787
1789,1789
1790,1798
1791,1791
1792,1795
1793,1793
1795,1795
1797,1797
1798,1798
1799,1799
1800,1800
1801,8390
1803,1803
1804,1804
1805,1805
1806,8844
1807,8387
1808,1808
1809,1809
1811,1811
1812,1812
1813,7215
1814,1816
1815,1815
1816,1816
1817,1817
1944,1944
1946,1946
1950,1950
1951,2057
1952,1952
1978,7042
1979,1982
1980,7042
1982,1982
1983,1983
1984,1985
1985,1985
1986,1986
1988,1988
1990,7042
1992,1992
1993,1992
1994,1994
1995,1995
1996,1996
1998,1998
2000,2000
2001,2000
2003,2003
2004,2003
2006,2006
2007,2007
2008,2008
2010,2010
2012,2012
2013,2013
2014,2014
2015,2015
2016,2016
2017,2020
2018,2018
2020,2020
2021,2021
2022,2022
2023,2020
2024,2021
2027,2027
2028,2028
2029,2028
2030,2031
2031,2031
2033,2033
2034,8505
2035,2031
2036,2031
2037,2031
2038,2038
2041,2041
2043,2043
2045,2041
2046,2041
2047,2047
2049,2049
2050,2050
2051,2052
2052,2052
2053,7187
2054,2054
2055,2055
2056,2055
2057,2057
2058,2057
2059,2059
2061,2061
2063,2063
2064,2063
2065,2065
2066,2072
2067,2069
2069,2069
2070,7098
2072,2072
2073,7036
2074,1208
2075,8698
2076,2076
2086,2110
2087,2087
2089,2089
2090,2090
2094,2095
2095,2095
2096,2096
2097,2097
2098,2098
2099,2099
2100,2100
2102,2102
2104,2104
2105,2105
2108,2108
2110,2110
2111,2111
2115,2115
2118,2118
2119,2119
2122,2122
2123,2123
2127,2127
2129,2123
2133,2102
2135,2140
2136,2140
2140,2140
2143,2143
2144,2144
2147,7029
2149,2149
2150,2150
2151,2151
2152,2152
2153,2153
2154,2154
2155,2155
2156,7058
2158,2158
2159,2159
2160,7058
2161,2161
2163,2163
2164,2164
2165,2165
2166,2169
2167,2167
2169,2169
2170,2170
2171,2171
2172,2169
2173,2173
2174,2174
2175,2175
2176,2176
2177,2177
2178,2178
2179,2179
2182,2182
2183,2183
2185,2185
2186,2186
2187,2187
2188,2188
2189,2189
2190,2190
2191,7801
2192,7801
2193,2193
2194,2194
2195,2195
2197,2197
2198,2198
2200,2200
2201,2201
2202,2202
2203,7067
2204,2204
2205,2205
2206,2206
2208,2208
2210,2210
2211,2211
2212,2212
2213,2213
2214,7351
2215,2215
2216,2216
2218,2218
2219,8617
2220,2220
2221,2221
2222,2221
2223,2221
2224,2224
2225,2225
2227,2227
2228,7864
2229,2229
2230,3497
2231,2231
2233,2233
2234,2235
2235,2235
2236,2236
2237,2239
2239,2239
2240,8646
2242,2242
2243,2239
2244,2244
2245,2245
2247,2247
2249,2249
2251,2251
2253,2253
2254,2253
2255,2255
2256,2256
2258,2258
2259,2259
2260,2260
2261,2261
2262,2262
2264,2264
2265,2265
2266,2266
2267,2267
2268,2272
2270,2270
2272,2272
2274,2277
2277,2277
2279,2277
2280,2102
2282,2282
2284,2284
2285,2285
2286,2286
2287,2287
2288,2287
2289,2289
2290,2290
2291,2290
2293,2293
2294,2294
2295,2295
2296,2296
2297,2298
2298,2298
2299,2299
2300,2300
2301,2301
2302,8574
2303,2303
2304,2305
2305,2305
2306,7347
2307,7347
2309,2309
2310,2310
2311,8762
2312,2312
2313,2313
2314,2314
2315,8288
2316,8288
2318,2318
2319,2319
2320,2319
2321,2319
2323,2323
2324,2323
2325,2325
2326,2326
2327,2327
2329,2329
2330,2330
2331,2323
2332,2332
2335,2335
2336,2337
2337,2337
2338,2338
2340,2340
2342,2342
2343,2343
2344,2325
2345,2325
2346,7773
2347,2347
2348,2348
2349,2349
2350,2350
2351,2349
2353,2353
2354,2354
2355,2355
2357,2357
2358,8365
2359,2359
2360,2360
2362,2362
2363,2363
2364,2364
2365,2365
2366,2366
2367,2367
2368,2368
2369,2369
2370,2370
2371,2371
2372,2371
2373,2373
2375,2375
2376,2376
2377,2377
2378,8476
2379,2383
2380,2383
2381,1377
2382,1377
2383,2383
2385,2385
2386,8114
2387,2387
2388,8706
2389,2389
2390,2390
2391,2391
2392,2398
2393,2432
2394,7852
2396,2396
2398,2398
2399,2399
2401,2401
2402,2402
2403,2403
2404,2403
2405,4017
2406,2411
2407,2409
2409,2409
2410,2410
2411,2411
2412,2409
2413,8815
2414,8213
2415,7263
2416,2421
2417,2417
2418,2421
2419,2419
2421,2421
2422,2422
2423,2423
2424,2424
2425,2425
2426,7970
2427,7435
2428,2430
2430,2430
2431,8259
2432,2432
2433,8851
2434,2434
2435,8851
2436,2436
2437,2437
2438,2438
2439,2438
2440,2482
2441,2469
2442,2445
2443,2443
2444,2444
2445,2445
2446,7660
2447,2447
2448,2447
2450,2450
2453,2453
2454,7927
2456,2456
2458,2458
2459,8666
2461,2461
2462,7835
2463,8801
2464,2464
2466,2466
2467,2467
2468,7925
2469,2469
2470,2469
2471,2469
2472,2469
2473,2469
2474,2474
2476,2476
2477,2476
2479,2482
2480,8517
2482,2482
2483,8437
2484,2482
2486,2486
2487,7684
2489,2489
2490,2490
2492,2492
2493,2493
2494,7838
2496,2496
2497,2497
2499,2499
2500,7246
2501,7969
2502,2502
2503,2409
2504,2504
2505,2505
2506,2506
2507,2507
2508,2508
2509,2509
2510,2510
2511,2511
2512,2517
2513,2513
2514,2514
2515,2515
2517,2517
2518,2517
2519,2519
2520,2520
2521,2521
2522,2522
2523,8541
2524,2524
2525,2525
2526,2540
2527,2540
2528,2540
2529,2529
2530,2530
2531,2531
2533,2533
2534,2534
2535,2535
2536,2536
2537,2537
2538,2538
2540,2540
2541,2541
2542,2541
2543,2543
2544,2544
2545,2545
2547,2547
2549,2549
2550,2550
2551,2551
2552,2552
2553,2553
2554,2554
2555,7977
2556,2556
2557,8605
2558,2558
2559,2559
2560,2559
2561,2561
2562,7966
2563,2563
2564,2564
2565,2565
2566,2566
2567,2567
2568,2568
2569,7966
2571,2571
2572,2572
2573,2573
2574,2574
2575,2576
2576,2576
2577,2577
2578,2578
2579,2579
2580,2580
2581,2580
2582,2476
2583,2476
2585,2585
2587,2587
2589,2589
2590,2590
2591,7311
2592,2842
2593,2842
2594,2594
2595,2595
2596,2597
2597,2597
2598,2598
2600,2600
2601,2598
2602,2602
2603,7717
2605,2605
2606,7344
2608,7717
2609,2609
2611,2611
2612,2612
2613,7130
2614,2614
2616,2616
2617,2617
2618,7135
2619,2617
2620,2616
2621,2621
2622,2622
2624,2624
2625,2625
2626,2628
2628,2628
2629,2629
2630,2630
2631,2631
2633,2633
2634,2634
2635,7337
2636,8759
2637,2637
2638,2638
2640,2640
2641,2641
2643,2643
2644,2643
2645,8454
2646,2646
2647,2647
2648,2648
2649,2649
2650,2650
2651,7119
2652,2652
2653,8819
2654,2657
2655,2657
2656,2657
2657,2657
2658,7393
2659,2659
2660,2660
2661,2661
2662,2661
2663,2663
2665,2665
2666,2661
2667,2667
2668,7843
2669,7842
2670,8162
2671,8162
2673,2673
2674,2674
2675,1587
2677,2677
2678,7248
2679,7248
2680,7928
2681,2681
2682,2682
2683,2689
2685,2685
2686,2707
2688,2689
2689,2689
2692,2692
2693,2693
2694,2694
2696,2696
2697,2697
2698,2698
2699,2694
2700,2700
2702,2702
2704,2704
2706,2706
2707,2707
2708,2708
2709,2706
2711,2711
2712,2712
2714,2714
2715,7259
2716,7844
2717,2714
2718,7256
2720,2720
2721,2720
2722,2714
2723,7841
2724,7255
2725,2725
2726,8161
2728,8161
2729,2720
2731,2731
2732,2732
2733,8161
2734,2734
2735,7254
2736,7253
2737,2738
2738,2738
2739,2750
2740,2740
2741,7252
2742,2742
2743,2743
2744,7248
2745,8773
2746,8498
2747,8307
2748,2748
2750,2750
2751,2751
2753,2753
2754,2754
2755,7312
2756,2756
2757,7840
2758,7839
2759,2759
2760,2759
2761,2711
2762,2711
2763,2763
2764,2764
2765,2765
2766,2759
2767,7249
2768,2754
2769,2759
2770,2770
2771,2771
2772,2772
2773,2776
2774,2776
2775,2775
2776,2776
2777,2777
2778,2775
2779,2781
2781,2781
2782,8602
2783,2759
2784,2791
2785,8286
2787,2787
2788,7244
2789,2789
2790,7308
2791,2791
2792,2791
2793,2793
2794,2795
2795,2795
2796,2796
2797,2797
2798,2798
2799,8545
2800,2800
2801,7654
2802,2802
2803,2803
2804,2804
2805,2805
2806,8137
2807,7849
2808,2808
2809,2809
2810,2810
2811,2811
2813,2813
2814,2814
2815,2815
2816,2813
2817,7186
2818,7696
2819,2819
2820,2820
2821,2821
2822,2822
2824,2824
2825,2822
2826,2826
2827,8287
2828,2828
2829,2828
2830,2830
2831,2832
2832,2832
2833,2833
2834,8186
2835,2835
2836,2838
2838,2838
2839,7707
2840,7851
2841,2838
2842,2842
2844,2844
2845,2844
2846,2846
2847,8471
2848,2846
2849,2855
2850,2855
2851,7260
2852,2852
2853,2855
2854,2855
2855,2855
2856,2856
2858,2858
2859,2859
2860,2860
2861,2861
2862,7848
2863,2863
2864,2864
2866,2866
2867,2867
2868,2868
2870,2870
2871,7770
2872,7772
2873,2873
2874,7845
2875,2875
2876,2878
2878,2878
2880,2880
2881,2884
2882,2884
2883,2884
2884,2884
2885,2885
2886,2885
2887,2887
2888,2888
2890,2890
2891,2891
2892,2891
2894,2894
2895,2894
2896,2897
2897,2897
2899,2899
2900,2887
2901,7950
2902,7845
2903,7356
2904,7179
2905,2906
2906,2906
2907,2906
2908,8491
2910,2910
2912,2912
2913,8839
2914,8639
2915,8639
2916,8639
2917,2917
2918,2924
2919,2924
2920,2920
2921,2921
2922,2925
2924,2924
2925,2925
2926,8240
2927,7262
2928,2928
2929,7394
2930,7340
2931,7257
2932,8787
2933,2933
2935,2935
2936,2936
2937,2935
2938,2938
2939,2938
2940,2940
2942,2942
2944,2944
2945,2938
2946,8667
2947,2947
2948,2948
2949,8223
2950,2938
2951,2951
2952,7251
2953,2953
3156,3156
3160,3160
3191,3194
3192,3196
3194,3194
3195,3195
3196,3196
3200,3201
3201,3201
3202,3203
3203,3203
3204,3204
3205,3205
3206,3206
3208,3208
3209,3208
3210,3210
3211,3205
3212,3205
3214,3214
3216,3216
3218,3218
3220,3220
3221,3221
3223,3223
3225,3223
3227,3228
3228,3228
3233,3233
3247,3247
3250,3250
3251,3251
3252,3252
3253,3253
3254,3254
3255,3255
3256,3256
3257,3257
3259,3259
3260,3259
3261,3261
3263,3263
3264,2041
3265,3265
3266,3269
3267,3269
3269,3269
3271,3269
3272,8856
3273,3273
3274,3274
3275,3275
3276,3276
3277,8341
3279,3279
3280,3279
3281,3279
3282,3283
3283,3283
3285,3285
3286,7401
3287,3287
3288,3288
3289,3289
3290,3292
3291,3292
3292,3292
3293,3293
3294,3294
3295,8179
3296,3296
3297,3298
3298,3298
3300,3300
3301,8090
3302,3302
3304,3304
3305,3305
3306,7453
3307,3307
3308,3308
3309,3309
3310,3310
3313,3313
3314,3298
3315,3315
3318,3318
3319,3319
3321,3351
3324,3324
3325,3325
3326,8690
3327,3335
3328,3335
3329,3256
3331,3331
3333,3333
3335,3335
3336,8415
3337,4545
3339,3335
3340,3335
3341,3341
3342,3335
3343,3335
3344,3335
3346,3346
3348,3348
3350,3333
3351,3351
3352,3352
3354,3354
3357,3357
3358,3358
3359,3359
3360,3360
3362,3362
3363,3363
3365,3365
3366,3366
3368,3368
3369,3368
3371,3371
3372,3372
3373,3373
3374,3374
3375,3375
3376,3375
3377,3379
3378,3378
3379,3379
3380,3380
3381,3381
3382,7756
3383,3387
3384,3387
3385,3387
3387,3387
3388,3387
3389,3387
3390,3387
3391,3391
3392,3387
3393,3387
3394,3394
3396,3396
3397,3397
3399,3399
3401,3401
3402,3399
3403,8552
3404,3399
3405,3405
3406,3401
3408,3408
3409,3408
3410,3408
3411,3906
3412,3906
3413,3413
3414,3414
3415,3415
3416,3416
3418,3418
3419,3419
3420,3420
3422,3422
3423,8385
3424,3424
3425,3425
3427,3427
3428,3428
3429,3429
3431,3431
3433,3433
3435,3435
3436,3436
3437,3437
3438,3438
3439,3435
3440,8763
3441,8560
3442,3442
3443,3443
3444,3444
3446,3446
3447,3447
3448,3448
3450,3450
3451,3451
3453,3453
3456,3456
3458,3458
3459,8398
3460,3461
3461,3461
3462,3463
3463,3463
3464,3464
3465,3465
3466,3466
3467,3463
3468,3468
3469,3471
3471,3471
3472,3474
3474,3474
3476,3476
3477,3477
3478,3478
3479,3479
3480,3480
3481,3481
3483,3483
3484,7758
3485,3489
3486,7757
3487,3487
3489,3489
3492,3494
3494,3494
3497,3497
3499,3497
3502,3502
3503,3502
3504,8577
3505,3505
3507,3507
3511,3511
3513,3513
3514,3514
3515,3515
3516,3516
3517,3517
3518,8436
3519,3521
3521,3521
3522,3521
3523,3524
3524,3524
3525,3525
3526,3529
3527,8853
3529,3529
3530,3530
3531,7785
3533,8142
3534,8142
3535,7269
3536,3536
3537,3537
3538,3539
3539,3539
3540,3540
3541,8566
3542,3542
3543,7147
3544,3544
3546,3546
3548,3552
3549,3550
3550,3550
3552,3552
3553,3553
3554,3555
3555,3555
3556,3556
3558,3558
3560,3560
3561,3561
3562,3562
3563,3563
3564,3564
3566,3566
3567,3550
3568,3555
3569,3550
3570,3555
3571,3571
3572,3572
3573,3573
3574,7468
3575,7858
3576,3577
3577,3577
3578,3578
3580,3580
3581,3564
3582,3582
3583,3580
3585,3585
3586,3586
3589,3589
3590,3590
3591,3591
3592,3589
3594,3594
3595,3598
3596,3598
3598,3598
3600,3600
3602,3602
3603,3603
3605,3605
3606,3606
3608,3608
3610,3610
3612,3612
3613,3613
3614,7417
3615,7629
3617,3617
3619,3619
3621,3621
3623,3623
3624,3624
3626,3626
3627,3627
3628,3627
3629,3546
3630,3630
3631,3632
3632,3632
3633,3633
3634,3634
3636,3636
3638,3638
3639,3642
3640,3632
3642,3642
3643,3643
3644,3638
3645,3645
3646,8111
3647,3647
3648,3682
3650,3650
3652,3652
3653,3653
3654,8386
3655,3655
3656,8604
3657,3657
3658,3658
3660,3660
3661,4137
3662,3662
3664,3664
3665,3665
3666,3668
3667,3668
3668,3668
3670,3670
3672,3672
3673,3670
3674,3664
3675,3678
3676,3678
3678,3678
3679,3679
3680,3680
3682,3682
3683,3683
3684,3684
3685,3685
3686,3686
3687,3687
3689,3689
3690,3689
3691,3683
3692,3689
3693,3693
3694,3694
3695,3697
3697,3697
3698,3698
3699,3699
3700,3708
3701,3708
3702,3702
3703,3703
3705,3705
3707,3707
3708,3708
3709,3708
3710,3626
3711,3712
3712,3712
3713,3713
3714,3714
3715,3715
3716,3715
3717,3717
3718,8663
3719,3719
3720,3732
3721,3717
3722,3732
3723,3703
3724,3724
3725,3725
3726,3726
3727,3705
3728,3728
3729,3729
3731,3731
3732,3732
3734,3734
3735,3735
3737,3737
3738,3738
3739,3739
3740,4861
3741,3741
3743,3743
3745,3745
3746,7949
3747,3747
3748,3748
3749,3749
3750,3750
3751,3751
3752,3752
3753,8593
3754,3754
3755,3755
3756,7099
3757,3764
3758,3764
3759,3600
3760,3600
3761,3761
3762,3762
3764,3764
3765,3765
3767,3767
3768,3768
3769,3769
3770,3770
3772,3772
3774,3774
3775,3775
3777,3777
3778,3778
3779,3779
3781,3781
3782,3777
3784,3777
3785,3785
3786,3786
3787,3787
3791,3791
3792,3792
3793,3793
3794,3794
3795,7900
3796,3796
3798,3798
3799,3799
3800,3799
3801,7914
3803,3803
3804,3804
3806,3806
3811,3811
3813,3813
3814,3813
3815,3815
3816,3818
3818,3818
3821,3821
3822,3821
3823,3823
3824,3824
3825,3825
3826,3826
